Cluster_ID,Nodes_Count,Deployment_MAE,Deployment_RMSE,R2_Score
0,2244,45.3942,46.4432,Low Var
1,3035,46.2134,47.1082,0.0124
2,3131,47.9113,48.713,Low Var
3,3259,46.7484,47.7051,Low Var
4,2462,46.0018,46.9758,Low Var
5,2571,46.5912,47.4642,Low Var
6,2777,15.1922,16.8834,-27.0 (Phase Variance)
7,1774,47.0259,47.8992,Low Var
8,2525,46.0246,46.6061,Low Var
9,2997,46.2421,47.4923,Low Var
10,1655,46.2626,47.1804,Low Var
11,1993,46.2226,47.0304,Low Var
12,1490,46.2628,47.2514,Low Var
13,2267,45.784,46.7236,Low Var
14,3166,16.4756,19.2031,-0.6187
15,2481,47.1456,47.8051,Low Var
16,2864,44.7764,46.0729,Low Var
17,1760,45.9983,46.9569,Low Var
18,2415,40.7004,44.2059,-7.7 (Phase Variance)
19,2341,48.4761,49.5173,Low Var
20,1702,44.5477,45.3663,Low Var
21,1599,43.9603,45.1136,Low Var
22,2267,46.3166,47.1344,Low Var
23,1544,45.0118,45.5501,Low Var
24,3507,46.5356,47.521,Low Var
25,2510,20.7203,23.6957,-3.7 (Phase Variance)
26,1238,45.9588,46.8634,Low Var
27,2899,46.5584,47.3469,Low Var
28,2895,46.4988,47.3528,Low Var
29,3025,15.4905,22.6652,-0.1749
30,2957,8.9278,11.9946,-0.7193
31,1882,46.281,47.4621,Low Var
32,2251,22.4715,29.1611,0.0727
33,3153,47.0699,47.9695,Low Var
34,2016,46.1482,47.284,Low Var
35,3024,203.1399,219.2094,-6.2 (Phase Variance)
36,2133,44.8248,45.6661,Low Var
37,2988,18.9775,24.1104,-1.1 (Phase Variance)
38,2709,46.1817,46.9267,Low Var
39,2216,45.3355,45.961,Low Var
40,2111,45.0015,46.1438,Low Var
41,3338,110.8111,150.3621,-1.1 (Phase Variance)
42,1726,23.5143,34.4053,-0.0206
43,2766,25.1359,109.4506,-0.0181
44,1815,46.4969,47.1487,Low Var
45,3122,7.7326,10.5029,-3.0 (Phase Variance)
46,3009,44.9012,46.1296,Low Var
47,2255,46.6172,48.0054,Low Var
48,2493,46.3544,47.5562,Low Var
49,2950,47.6422,48.5316,Low Var
50,2014,46.0168,46.9834,Low Var
51,2320,45.1334,45.8777,Low Var
52,1915,44.859,45.8559,Low Var
53,1726,44.797,45.9464,Low Var
54,2626,45.8107,46.7589,Low Var
55,2015,46.0535,47.2354,Low Var
56,1499,45.0652,46.39,Low Var
57,3746,46.8085,47.6845,Low Var
58,1938,45.1196,46.0949,Low Var
59,1922,7.5055,11.7255,-0.7070
60,1853,45.9492,46.6339,Low Var
61,2977,299.4177,299.602,-1415.3 (Phase Variance)
62,2131,46.4413,46.9529,Low Var
63,2913,46.5828,47.4745,Low Var
