Cluster_ID,Total_Nodes,Empirical_MAE,Empirical_RMSE,R2_Score
59,1922,4.3859,4.9933,Low Var
43,2766,8.0718,9.4993,Low Var
30,2957,11.0146,13.7907,-13.1374
18,2415,14.8846,15.3747,Low Var
29,3025,19.2273,22.2808,-2.7640
14,3166,27.4926,27.8567,Low Var
32,2251,27.8016,32.6308,-13.2553
25,2510,28.4375,28.875,-1995.4392
6,2777,29.198,34.708,-2.6326
45,3122,33.2002,33.3607,Low Var
37,2988,39.4985,39.9086,Low Var
42,1726,70.4702,75.5167,-0.5467
41,3338,89.2255,89.745,-139.1622
35,3024,175.9825,176.1322,Low Var
61,2977,324.6505,324.7194,Low Var
